Année;Polluant;Fuel;Emissions
1990;NOx;Diesel;59.0
1991;NOx;Diesel;65.0
1992;NOx;Diesel;71.0
1993;NOx;Diesel;77.0
1994;NOx;Diesel;85.0
1995;NOx;Diesel;96.0
1996;NOx;Diesel;103.0
1997;NOx;Diesel;108.0
1998;NOx;Diesel;116.0
1999;NOx;Diesel;124.0
2000;NOx;Diesel;131.0
2001;NOx;Diesel;145.0
2002;NOx;Diesel;155.0
2003;NOx;Diesel;167.0
2004;NOx;Diesel;173.0
2005;NOx;Diesel;176.0
2006;NOx;Diesel;181.0
2007;NOx;Diesel;186.0
2008;NOx;Diesel;191.0
2009;NOx;Diesel;200.0
1990;COVNM;Diesel;14.0
1991;COVNM;Diesel;16.0
1992;COVNM;Diesel;16.0
1993;COVNM;Diesel;16.0
1994;COVNM;Diesel;15.0
1995;COVNM;Diesel;16.0
1996;COVNM;Diesel;16.0
1997;COVNM;Diesel;15.0
1998;COVNM;Diesel;15.0
1999;COVNM;Diesel;14.0
2000;COVNM;Diesel;12.0
2001;COVNM;Diesel;12.0
2002;COVNM;Diesel;12.0
2003;COVNM;Diesel;11.0
2004;COVNM;Diesel;11.0
2005;COVNM;Diesel;10.0
2006;COVNM;Diesel;9.0
2007;COVNM;Diesel;9.0
2008;COVNM;Diesel;9.0
2009;COVNM;Diesel;9.0
1990;CO;Diesel;56.0
1991;CO;Diesel;62.0
1992;CO;Diesel;66.0
1993;CO;Diesel;70.0
1994;CO;Diesel;70.0
1995;CO;Diesel;75.0
1996;CO;Diesel;78.0
1997;CO;Diesel;77.0
1998;CO;Diesel;75.0
1999;CO;Diesel;73.0
2000;CO;Diesel;63.0
2001;CO;Diesel;62.0
2002;CO;Diesel;58.0
2003;CO;Diesel;56.0
2004;CO;Diesel;51.0
2005;CO;Diesel;47.0
2006;CO;Diesel;44.0
2007;CO;Diesel;43.0
2008;CO;Diesel;41.0
2009;CO;Diesel;41.0
1990;PM10;Diesel;25.0
1991;PM10;Diesel;28.0
1992;PM10;Diesel;30.0
1993;PM10;Diesel;31.0
1994;PM10;Diesel;30.0
1995;PM10;Diesel;32.0
1996;PM10;Diesel;32.0
1997;PM10;Diesel;31.0
1998;PM10;Diesel;31.0
1999;PM10;Diesel;30.0
2000;PM10;Diesel;27.0
2001;PM10;Diesel;27.0
2002;PM10;Diesel;26.0
2003;PM10;Diesel;26.0
2004;PM10;Diesel;25.0
2005;PM10;Diesel;22.0
2006;PM10;Diesel;21.0
2007;PM10;Diesel;21.0
2008;PM10;Diesel;21.0
2009;PM10;Diesel;21.0
1990;PM2,5;Diesel;24.0
1991;PM2,5;Diesel;27.0
1992;PM2,5;Diesel;29.0
1993;PM2,5;Diesel;30.0
1994;PM2,5;Diesel;29.0
1995;PM2,5;Diesel;30.0
1996;PM2,5;Diesel;31.0
1997;PM2,5;Diesel;29.0
1998;PM2,5;Diesel;29.0
1999;PM2,5;Diesel;28.0
2000;PM2,5;Diesel;26.0
2001;PM2,5;Diesel;26.0
2002;PM2,5;Diesel;24.0
2003;PM2,5;Diesel;24.0
2004;PM2,5;Diesel;23.0
2005;PM2,5;Diesel;20.0
2006;PM2,5;Diesel;19.0
2007;PM2,5;Diesel;19.0
2008;PM2,5;Diesel;18.0
2009;PM2,5;Diesel;18.0
1990;PM1;Diesel;22.0
1991;PM1;Diesel;24.0
1992;PM1;Diesel;26.0
1993;PM1;Diesel;27.0
1994;PM1;Diesel;25.0
1995;PM1;Diesel;27.0
1996;PM1;Diesel;27.0
1997;PM1;Diesel;26.0
1998;PM1;Diesel;25.0
1999;PM1;Diesel;24.0
2000;PM1;Diesel;22.0
2001;PM1;Diesel;22.0
2002;PM1;Diesel;21.0
2003;PM1;Diesel;20.0
2004;PM1;Diesel;19.0
2005;PM1;Diesel;16.0
2006;PM1;Diesel;15.0
2007;PM1;Diesel;15.0
2008;PM1;Diesel;14.0
2009;PM1;Diesel;14.0
1990;BC;Diesel;13.0
1991;BC;Diesel;15.0
1992;BC;Diesel;16.0
1993;BC;Diesel;16.0
1994;BC;Diesel;16.0
1995;BC;Diesel;17.0
1996;BC;Diesel;18.0
1997;BC;Diesel;17.0
1998;BC;Diesel;17.0
1999;BC;Diesel;17.0
2000;BC;Diesel;15.0
2001;BC;Diesel;16.0
2002;BC;Diesel;15.0
2003;BC;Diesel;15.0
2004;BC;Diesel;15.0
2005;BC;Diesel;13.0
2006;BC;Diesel;12.0
2007;BC;Diesel;12.0
2008;BC;Diesel;12.0
2009;BC;Diesel;12.0
1990;du;Diesel;0.2
1991;du;Diesel;0.2
1992;du;Diesel;0.2
1993;du;Diesel;0.2
1994;du;Diesel;0.2
1995;du;Diesel;0.3
1996;du;Diesel;0.3
1997;du;Diesel;0.3
1998;du;Diesel;0.3
1999;du;Diesel;0.4
2000;du;Diesel;0.4
2001;du;Diesel;0.4
2002;du;Diesel;0.4
2003;du;Diesel;0.4
2004;du;Diesel;0.5
2005;du;Diesel;0.5
2006;du;Diesel;0.5
2007;du;Diesel;0.5
2008;du;Diesel;0.5
2009;du;Diesel;0.6
1990;Cd;Diesel;0.05
1991;Cd;Diesel;0.06
1992;Cd;Diesel;0.07
1993;Cd;Diesel;0.07
1994;Cd;Diesel;0.08
1995;Cd;Diesel;0.09
1996;Cd;Diesel;0.1
1997;Cd;Diesel;0.1
1998;Cd;Diesel;0.11
1999;Cd;Diesel;0.12
2000;Cd;Diesel;0.12
2001;Cd;Diesel;0.14
2002;Cd;Diesel;0.14
2003;Cd;Diesel;0.15
2004;Cd;Diesel;0.16
2005;Cd;Diesel;0.16
2006;Cd;Diesel;0.17
2007;Cd;Diesel;0.18
2008;Cd;Diesel;0.19
2009;Cd;Diesel;0.2
1990;Cr;Diesel;0.22
1991;Cr;Diesel;0.24
1992;Cr;Diesel;0.28
1993;Cr;Diesel;0.3
1994;Cr;Diesel;0.33
1995;Cr;Diesel;0.37
1996;Cr;Diesel;0.4
1997;Cr;Diesel;0.43
1998;Cr;Diesel;0.46
1999;Cr;Diesel;0.49
2000;Cr;Diesel;0.51
2001;Cr;Diesel;0.56
2002;Cr;Diesel;0.59
2003;Cr;Diesel;0.63
2004;Cr;Diesel;0.65
2005;Cr;Diesel;0.67
2006;Cr;Diesel;0.71
2007;Cr;Diesel;0.74
2008;Cr;Diesel;0.77
2009;Cr;Diesel;0.81
1990;Cu;Diesel;12.0
1991;Cu;Diesel;14.0
1992;Cu;Diesel;15.0
1993;Cu;Diesel;17.0
1994;Cu;Diesel;19.0
1995;Cu;Diesel;21.0
1996;Cu;Diesel;22.0
1997;Cu;Diesel;24.0
1998;Cu;Diesel;25.0
1999;Cu;Diesel;28.0
2000;Cu;Diesel;28.0
2001;Cu;Diesel;32.0
2002;Cu;Diesel;34.0
2003;Cu;Diesel;37.0
2004;Cu;Diesel;39.0
2005;Cu;Diesel;41.0
2006;Cu;Diesel;45.0
2007;Cu;Diesel;47.0
2008;Cu;Diesel;49.0
2009;Cu;Diesel;51.0
1990;Pb;Diesel;5.7
1991;Pb;Diesel;6.4
1992;Pb;Diesel;7.3
1993;Pb;Diesel;7.9
1994;Pb;Diesel;8.8
1995;Pb;Diesel;9.9
1996;Pb;Diesel;10.6
1997;Pb;Diesel;11.2
1998;Pb;Diesel;11.8
1999;Pb;Diesel;13.1
2000;Pb;Diesel;13.1
2001;Pb;Diesel;15.0
2002;Pb;Diesel;15.9
2003;Pb;Diesel;17.4
2004;Pb;Diesel;18.3
2005;Pb;Diesel;19.5
2006;Pb;Diesel;21.1
2007;Pb;Diesel;22.0
2008;Pb;Diesel;23.2
2009;Pb;Diesel;23.8
1990;Zn;Diesel;30.57
1991;Zn;Diesel;34.36
1992;Zn;Diesel;38.84
1993;Zn;Diesel;42.35
1994;Zn;Diesel;47.02
1995;Zn;Diesel;52.52
1996;Zn;Diesel;56.45
1997;Zn;Diesel;59.45
1998;Zn;Diesel;63.4
1999;Zn;Diesel;68.56
2000;Zn;Diesel;70.26
2001;Zn;Diesel;78.28
2002;Zn;Diesel;82.4
2003;Zn;Diesel;88.17
2004;Zn;Diesel;91.57
2005;Zn;Diesel;95.08
2006;Zn;Diesel;101.21
2007;Zn;Diesel;105.7
2008;Zn;Diesel;109.87
2009;Zn;Diesel;114.57
1990;HAP;Diesel;1.04
1991;HAP;Diesel;1.16
1992;HAP;Diesel;1.31
1993;HAP;Diesel;1.42
1994;HAP;Diesel;1.58
1995;HAP;Diesel;1.75
1996;HAP;Diesel;1.88
1997;HAP;Diesel;1.97
1998;HAP;Diesel;2.07
1999;HAP;Diesel;2.17
2000;HAP;Diesel;2.18
2001;HAP;Diesel;2.33
2002;HAP;Diesel;2.36
2003;HAP;Diesel;2.4
2004;HAP;Diesel;2.36
2005;HAP;Diesel;2.29
2006;HAP;Diesel;2.28
2007;HAP;Diesel;2.23
2008;HAP;Diesel;2.13
2009;HAP;Diesel;2.06
1990;PCDD-F;Diesel;5.24
1991;PCDD-F;Diesel;5.88
1992;PCDD-F;Diesel;6.62
1993;PCDD-F;Diesel;7.2
1994;PCDD-F;Diesel;7.97
1995;PCDD-F;Diesel;8.87
1996;PCDD-F;Diesel;9.49
1997;PCDD-F;Diesel;9.94
1998;PCDD-F;Diesel;10.6
1999;PCDD-F;Diesel;11.31
2000;PCDD-F;Diesel;11.67
2001;PCDD-F;Diesel;12.83
2002;PCDD-F;Diesel;13.45
2003;PCDD-F;Diesel;14.24
2004;PCDD-F;Diesel;14.63
2005;PCDD-F;Diesel;14.97
2006;PCDD-F;Diesel;15.72
2007;PCDD-F;Diesel;16.39
2008;PCDD-F;Diesel;16.89
2009;PCDD-F;Diesel;17.76
1990;SO2;Diesel;29.32
1991;SO2;Diesel;32.71
1992;SO2;Diesel;36.42
1993;SO2;Diesel;39.89
1994;SO2;Diesel;40.11
1995;SO2;Diesel;32.75
1996;SO2;Diesel;28.68
1997;SO2;Diesel;9.27
1998;SO2;Diesel;9.91
1999;SO2;Diesel;9.03
2000;SO2;Diesel;7.62
2001;SO2;Diesel;8.32
2002;SO2;Diesel;8.71
2003;SO2;Diesel;9.19
2004;SO2;Diesel;9.39
2005;SO2;Diesel;1.37
2006;SO2;Diesel;1.43
2007;SO2;Diesel;1.5
2008;SO2;Diesel;1.55
2009;SO2;Diesel;0.33
1990;Ni;Diesel;0.14
1991;Ni;Diesel;0.16
1992;Ni;Diesel;0.18
1993;Ni;Diesel;0.19
1994;Ni;Diesel;0.21
1995;Ni;Diesel;0.24
1996;Ni;Diesel;0.26
1997;Ni;Diesel;0.27
1998;Ni;Diesel;0.29
1999;Ni;Diesel;0.31
2000;Ni;Diesel;0.32
2001;Ni;Diesel;0.36
2002;Ni;Diesel;0.38
2003;Ni;Diesel;0.4
2004;Ni;Diesel;0.42
2005;Ni;Diesel;0.43
2006;Ni;Diesel;0.46
2007;Ni;Diesel;0.48
2008;Ni;Diesel;0.5
2009;Ni;Diesel;0.52
1990;benzène;Diesel;0.0
1991;benzène;Diesel;0.0
1992;benzène;Diesel;0.0
1993;benzène;Diesel;0.0
1994;benzène;Diesel;0.0
1995;benzène;Diesel;0.0
1996;benzène;Diesel;0.0
1997;benzène;Diesel;0.0
1998;benzène;Diesel;0.0
1999;benzène;Diesel;0.0
2000;benzène;Diesel;618.0
2001;benzène;Diesel;632.0
2002;benzène;Diesel;595.0
2003;benzène;Diesel;589.0
2004;benzène;Diesel;552.0
2005;benzène;Diesel;522.0
2006;benzène;Diesel;480.0
2007;benzène;Diesel;461.0
2008;benzène;Diesel;439.0
2009;benzène;Diesel;432.0
1990;NOx;Essence;644.0
1991;NOx;Essence;628.0
1992;NOx;Essence;625.0
1993;NOx;Essence;581.0
1994;NOx;Essence;531.0
1995;NOx;Essence;473.0
1996;NOx;Essence;430.0
1997;NOx;Essence;382.0
1998;NOx;Essence;346.0
1999;NOx;Essence;307.0
2000;NOx;Essence;271.0
2001;NOx;Essence;232.0
2002;NOx;Essence;195.0
2003;NOx;Essence;161.0
2004;NOx;Essence;134.0
2005;NOx;Essence;104.0
2006;NOx;Essence;82.0
2007;NOx;Essence;66.0
2008;NOx;Essence;52.0
2009;NOx;Essence;41.0
1990;COVNM;Essence;708.0
1991;COVNM;Essence;690.0
1992;COVNM;Essence;688.0
1993;COVNM;Essence;642.0
1994;COVNM;Essence;577.0
1995;COVNM;Essence;530.0
1996;COVNM;Essence;473.0
1997;COVNM;Essence;427.0
1998;COVNM;Essence;384.0
1999;COVNM;Essence;353.0
2000;COVNM;Essence;297.0
2001;COVNM;Essence;263.0
2002;COVNM;Essence;225.0
2003;COVNM;Essence;192.0
2004;COVNM;Essence;162.0
2005;COVNM;Essence;130.0
2006;COVNM;Essence;104.0
2007;COVNM;Essence;86.0
2008;COVNM;Essence;69.0
2009;COVNM;Essence;57.0
1990;CO;Essence;4465.0
1991;CO;Essence;4385.0
1992;CO;Essence;4230.0
1993;CO;Essence;3961.0
1994;CO;Essence;3332.0
1995;CO;Essence;3179.0
1996;CO;Essence;2853.0
1997;CO;Essence;2515.0
1998;CO;Essence;2275.0
1999;CO;Essence;2087.0
2000;CO;Essence;1698.0
2001;CO;Essence;1543.0
2002;CO;Essence;1323.0
2003;CO;Essence;1147.0
2004;CO;Essence;1033.0
2005;CO;Essence;824.0
2006;CO;Essence;669.0
2007;CO;Essence;596.0
2008;CO;Essence;495.0
2009;CO;Essence;393.0
1990;PM10;Essence;9.4
1991;PM10;Essence;8.8
1992;PM10;Essence;8.4
1993;PM10;Essence;7.7
1994;PM10;Essence;7.0
1995;PM10;Essence;6.5
1996;PM10;Essence;6.0
1997;PM10;Essence;5.6
1998;PM10;Essence;5.3
1999;PM10;Essence;5.1
2000;PM10;Essence;4.7
2001;PM10;Essence;4.3
2002;PM10;Essence;4.1
2003;PM10;Essence;4.0
2004;PM10;Essence;3.8
2005;PM10;Essence;3.6
2006;PM10;Essence;3.4
2007;PM10;Essence;3.2
2008;PM10;Essence;2.9
2009;PM10;Essence;2.7
1990;PM2,5;Essence;7.4
1991;PM2,5;Essence;6.8
1992;PM2,5;Essence;6.4
1993;PM2,5;Essence;5.7
1994;PM2,5;Essence;5.1
1995;PM2,5;Essence;4.6
1996;PM2,5;Essence;4.2
1997;PM2,5;Essence;3.8
1998;PM2,5;Essence;3.6
1999;PM2,5;Essence;3.4
2000;PM2,5;Essence;3.1
2001;PM2,5;Essence;2.7
2002;PM2,5;Essence;2.6
2003;PM2,5;Essence;2.4
2004;PM2,5;Essence;2.3
2005;PM2,5;Essence;2.2
2006;PM2,5;Essence;2.0
2007;PM2,5;Essence;1.9
2008;PM2,5;Essence;1.8
2009;PM2,5;Essence;1.6
1990;PM1;Essence;3.9
1991;PM1;Essence;3.5
1992;PM1;Essence;3.1
1993;PM1;Essence;2.7
1994;PM1;Essence;2.3
1995;PM1;Essence;2.0
1996;PM1;Essence;1.7
1997;PM1;Essence;1.4
1998;PM1;Essence;1.3
1999;PM1;Essence;1.1
2000;PM1;Essence;0.9
2001;PM1;Essence;0.7
2002;PM1;Essence;0.6
2003;PM1;Essence;0.6
2004;PM1;Essence;0.6
2005;PM1;Essence;0.5
2006;PM1;Essence;0.5
2007;PM1;Essence;0.5
2008;PM1;Essence;0.4
2009;PM1;Essence;0.4
1990;BC;Essence;0.75
1991;BC;Essence;0.74
1992;BC;Essence;0.72
1993;BC;Essence;0.67
1994;BC;Essence;0.6
1995;BC;Essence;0.55
1996;BC;Essence;0.51
1997;BC;Essence;0.47
1998;BC;Essence;0.44
1999;BC;Essence;0.41
2000;BC;Essence;0.37
2001;BC;Essence;0.31
2002;BC;Essence;0.29
2003;BC;Essence;0.28
2004;BC;Essence;0.27
2005;BC;Essence;0.25
2006;BC;Essence;0.23
2007;BC;Essence;0.21
2008;BC;Essence;0.19
2009;BC;Essence;0.18
1990;du;Essence;0.5
1991;du;Essence;0.4
1992;du;Essence;0.5
1993;du;Essence;0.4
1994;du;Essence;0.4
1995;du;Essence;0.4
1996;du;Essence;0.4
1997;du;Essence;0.4
1998;du;Essence;0.4
1999;du;Essence;0.4
2000;du;Essence;0.4
2001;du;Essence;0.4
2002;du;Essence;0.4
2003;du;Essence;0.3
2004;du;Essence;0.3
2005;du;Essence;0.3
2006;du;Essence;0.3
2007;du;Essence;0.3
2008;du;Essence;0.2
2009;du;Essence;0.2
1990;Cd;Essence;0.17
1991;Cd;Essence;0.16
1992;Cd;Essence;0.16
1993;Cd;Essence;0.16
1994;Cd;Essence;0.16
1995;Cd;Essence;0.15
1996;Cd;Essence;0.15
1997;Cd;Essence;0.15
1998;Cd;Essence;0.15
1999;Cd;Essence;0.15
2000;Cd;Essence;0.14
2001;Cd;Essence;0.14
2002;Cd;Essence;0.13
2003;Cd;Essence;0.13
2004;Cd;Essence;0.13
2005;Cd;Essence;0.12
2006;Cd;Essence;0.11
2007;Cd;Essence;0.1
2008;Cd;Essence;0.1
2009;Cd;Essence;0.09
1990;Cr;Essence;0.37
1991;Cr;Essence;0.36
1992;Cr;Essence;0.37
1993;Cr;Essence;0.36
1994;Cr;Essence;0.35
1995;Cr;Essence;0.33
1996;Cr;Essence;0.33
1997;Cr;Essence;0.32
1998;Cr;Essence;0.31
1999;Cr;Essence;0.32
2000;Cr;Essence;0.3
2001;Cr;Essence;0.3
2002;Cr;Essence;0.29
2003;Cr;Essence;0.28
2004;Cr;Essence;0.27
2005;Cr;Essence;0.25
2006;Cr;Essence;0.24
2007;Cr;Essence;0.22
2008;Cr;Essence;0.21
2009;Cr;Essence;0.19
1990;Cu;Essence;40.0
1991;Cu;Essence;39.0
1992;Cu;Essence;40.0
1993;Cu;Essence;38.0
1994;Cu;Essence;37.0
1995;Cu;Essence;35.0
1996;Cu;Essence;35.0
1997;Cu;Essence;34.0
1998;Cu;Essence;33.0
1999;Cu;Essence;34.0
2000;Cu;Essence;32.0
2001;Cu;Essence;32.0
2002;Cu;Essence;31.0
2003;Cu;Essence;30.0
2004;Cu;Essence;30.0
2005;Cu;Essence;29.0
2006;Cu;Essence;27.0
2007;Cu;Essence;26.0
2008;Cu;Essence;24.0
2009;Cu;Essence;22.0
1990;Pb;Essence;3382.0
1991;Pb;Essence;2182.0
1992;Pb;Essence;1538.0
1993;Pb;Essence;1338.0
1994;Pb;Essence;1169.0
1995;Pb;Essence;1037.0
1996;Pb;Essence;891.0
1997;Pb;Essence;772.0
1998;Pb;Essence;670.0
1999;Pb;Essence;481.0
2000;Pb;Essence;21.0
2001;Pb;Essence;15.0
2002;Pb;Essence;14.0
2003;Pb;Essence;14.0
2004;Pb;Essence;14.0
2005;Pb;Essence;13.0
2006;Pb;Essence;12.0
2007;Pb;Essence;12.0
2008;Pb;Essence;11.0
2009;Pb;Essence;10.0
1990;Zn;Essence;92.72
1991;Zn;Essence;90.78
1992;Zn;Essence;92.34
1993;Zn;Essence;89.39
1994;Zn;Essence;87.34
1995;Zn;Essence;83.94
1996;Zn;Essence;82.51
1997;Zn;Essence;81.06
1998;Zn;Essence;79.14
1999;Zn;Essence;80.22
2000;Zn;Essence;76.99
2001;Zn;Essence;75.98
2002;Zn;Essence;73.44
2003;Zn;Essence;70.6
2004;Zn;Essence;68.69
2005;Zn;Essence;64.68
2006;Zn;Essence;60.55
2007;Zn;Essence;57.2
2008;Zn;Essence;52.63
2009;Zn;Essence;48.93
1990;HAP;Essence;0.76
1991;HAP;Essence;0.75
1992;HAP;Essence;0.75
1993;HAP;Essence;0.71
1994;HAP;Essence;0.67
1995;HAP;Essence;0.62
1996;HAP;Essence;0.59
1997;HAP;Essence;0.55
1998;HAP;Essence;0.53
1999;HAP;Essence;0.51
2000;HAP;Essence;0.47
2001;HAP;Essence;0.45
2002;HAP;Essence;0.42
2003;HAP;Essence;0.39
2004;HAP;Essence;0.36
2005;HAP;Essence;0.33
2006;HAP;Essence;0.3
2007;HAP;Essence;0.27
2008;HAP;Essence;0.25
2009;HAP;Essence;0.23
1990;PCDD-F;Essence;7.54
1991;PCDD-F;Essence;7.39
1992;PCDD-F;Essence;7.5
1993;PCDD-F;Essence;7.26
1994;PCDD-F;Essence;7.08
1995;PCDD-F;Essence;6.8
1996;PCDD-F;Essence;6.69
1997;PCDD-F;Essence;6.58
1998;PCDD-F;Essence;6.46
1999;PCDD-F;Essence;6.45
2000;PCDD-F;Essence;6.2
2001;PCDD-F;Essence;5.82
2002;PCDD-F;Essence;5.25
2003;PCDD-F;Essence;4.71
2004;PCDD-F;Essence;4.25
2005;PCDD-F;Essence;3.72
2006;PCDD-F;Essence;3.22
2007;PCDD-F;Essence;2.84
2008;PCDD-F;Essence;2.42
2009;PCDD-F;Essence;2.1
1990;SO2;Essence;35.76
1991;SO2;Essence;33.5
1992;SO2;Essence;33.05
1993;SO2;Essence;31.15
1994;SO2;Essence;29.17
1995;SO2;Essence;23.49
1996;SO2;Essence;21.6
1997;SO2;Essence;20.15
1998;SO2;Essence;18.93
1999;SO2;Essence;12.39
2000;SO2;Essence;3.62
2001;SO2;Essence;3.52
2002;SO2;Essence;3.37
2003;SO2;Essence;3.16
2004;SO2;Essence;2.98
2005;SO2;Essence;0.92
2006;SO2;Essence;0.85
2007;SO2;Essence;0.8
2008;SO2;Essence;0.74
2009;SO2;Essence;0.14
1990;Ni;Essence;0.43
1991;Ni;Essence;0.43
1992;Ni;Essence;0.43
1993;Ni;Essence;0.42
1994;Ni;Essence;0.41
1995;Ni;Essence;0.39
